SUBDIVISION,Year,Forecasted_Rainfall,Lower_Bound,Upper_Bound,Alert,MAE,RMSE
Lakshadweep,2018,1465.55,932.65,1998.46,Below Normal Rainfall,121.28,164.62
Lakshadweep,2019,1722.94,1183.42,2262.47,Normal Rainfall,121.28,164.62
Lakshadweep,2020,1630.45,1090.42,2170.48,Normal Rainfall,121.28,164.62
Lakshadweep,2021,1611.02,1070.78,2151.26,Normal Rainfall,121.28,164.62
Lakshadweep,2022,1618.3,1077.9,2158.7,Normal Rainfall,121.28,164.62
Lakshadweep,2023,1694.52,1155.66,2233.38,Normal Rainfall,121.28,164.62
Lakshadweep,2024,1415.12,876.21,1954.03,Below Normal Rainfall,121.28,164.62
Lakshadweep,2025,1440.97,902.06,1979.89,Below Normal Rainfall,121.28,164.62
Lakshadweep,2026,1495.17,956.24,2034.1,Normal Rainfall,121.28,164.62
Lakshadweep,2027,1577.67,1038.69,2116.64,Normal Rainfall,121.28,164.62
