SUBDIVISION,YEAR,FORECAST_RAINFALL
East Uttar Pradesh,2030,718.11566162109375
Gangetic West Bengal,2018,1592.2943115234375
Gangetic West Bengal,2019,1724.4942626953125
Gangetic West Bengal,2020,1759.3311767578125
Gangetic West Bengal,2021,1832.9765625
Gangetic West Bengal,2022,2047.6236572265625
Gangetic West Bengal,2023,2067.183837890625
Gangetic West Bengal,2024,2253.99072265625
Gangetic West Bengal,2025,2430.700927734375
Gangetic West Bengal,2026,2534.477783203125
Gangetic West Bengal,2027,2557.66162109375
Gangetic West Bengal,2028,2636.45068359375
Gangetic West Bengal,2029,2656.364990234375
Gangetic West Bengal,2030,2701.64306640625
Gujarat Region,2018,871.01519775390625
Gujarat Region,2019,831.68609619140625
Gujarat Region,2020,949.66668701171875
Gujarat Region,2021,887.70947265625
Gujarat Region,2022,897.5675048828125
Gujarat Region,2023,957.948486328125
Gujarat Region,2024,909.8587646484375
Gujarat Region,2025,926.72808837890625
Gujarat Region,2026,982.4444580078125
Gujarat Region,2027,895.39013671875
Gujarat Region,2028,935.3983154296875
Gujarat Region,2029,1012.5492553710938
Gujarat Region,2030,915.28125
Haryana Delhi & Chandigarh,2018,488.24847412109375
Haryana Delhi & Chandigarh,2019,540.63348388671875
Haryana Delhi & Chandigarh,2020,472.0320739746094
Haryana Delhi & Chandigarh,2021,517.223876953125
Haryana Delhi & Chandigarh,2022,514.41351318359375
Haryana Delhi & Chandigarh,2023,537.74169921875
Haryana Delhi & Chandigarh,2024,555.873291015625
Haryana Delhi & Chandigarh,2025,579.60772705078125
Haryana Delhi & Chandigarh,2026,626.2119140625
Haryana Delhi & Chandigarh,2027,594.37310791015625
Haryana Delhi & Chandigarh,2028,629.39837646484375
Haryana Delhi & Chandigarh,2029,626.70947265625
Haryana Delhi & Chandigarh,2030,650.35137939453125
Himachal Pradesh,2018,1028.0379638671875
Himachal Pradesh,2019,988.7344970703125
Himachal Pradesh,2020,1072.0592041015625
Himachal Pradesh,2021,1061.0216064453125
Himachal Pradesh,2022,1085.6617431640625
Himachal Pradesh,2023,1073.3134765625
Himachal Pradesh,2024,1079.8922119140625
Himachal Pradesh,2025,1069.4404296875
Himachal Pradesh,2026,1069.064208984375
Himachal Pradesh,2027,1061.5335693359375
Himachal Pradesh,2028,1064.053466796875
Himachal Pradesh,2029,1082.271484375
Himachal Pradesh,2030,1097.1011962890625
Jammu & Kashmir,2018,1087.687744140625
Jammu & Kashmir,2019,1214.88623046875
Jammu & Kashmir,2020,1143.829833984375
Jammu & Kashmir,2021,1140.087890625
Jammu & Kashmir,2022,1106.1231689453125
Jammu & Kashmir,2023,1108.443359375
Jammu & Kashmir,2024,1102.2677001953125
Jammu & Kashmir,2025,1076.4500732421875
Jammu & Kashmir,2026,1056.423095703125
Jammu & Kashmir,2027,1063.1640625
Jammu & Kashmir,2028,1091.9388427734375
Jammu & Kashmir,2029,1100.4183349609375
Jammu & Kashmir,2030,1041.0152587890625
Jharkhand,2018,1192.348388671875
Jharkhand,2019,1083.061279296875
Jharkhand,2020,1134.4356689453125
Jharkhand,2021,1144.9127197265625
Jharkhand,2022,1096.883056640625
Jharkhand,2023,1065.826171875
Jharkhand,2024,1057.6695556640625
Jharkhand,2025,1067.111572265625
Jharkhand,2026,1064.453125
Jharkhand,2027,1093.196533203125
Jharkhand,2028,1068.733154296875
Jharkhand,2029,1052.8828125
Jharkhand,2030,1065.2601318359375
Kerala,2018,2430.255126953125
Kerala,2019,2591.24560546875
Kerala,2020,2698.147216796875
Kerala,2021,2651.4208984375
Kerala,2022,2668.93212890625
Kerala,2023,2649.609130859375
Kerala,2024,2762.92626953125
Kerala,2025,2735.885498046875
Kerala,2026,2711.47998046875
Kerala,2027,2717.720458984375
Kerala,2028,2752.513427734375
Kerala,2029,2798.001708984375
Kerala,2030,2706.154052734375
Konkan & Goa,2018,3043.268310546875
Konkan & Goa,2019,2722.658447265625
Konkan & Goa,2020,3139.719970703125
Konkan & Goa,2021,2794.359375
Konkan & Goa,2022,2705.813720703125
Konkan & Goa,2023,3015.529052734375
Konkan & Goa,2024,2794.77880859375
Konkan & Goa,2025,2542.591552734375
Konkan & Goa,2026,2830.623291015625
Konkan & Goa,2027,3058.733154296875
Konkan & Goa,2028,2947.176025390625
Konkan & Goa,2029,2500.532958984375
Konkan & Goa,2030,2682.494140625
Lakshadweep,2018,1425.3109130859375
Lakshadweep,2019,1493.6669921875
Lakshadweep,2020,1573.9168701171875
Lakshadweep,2021,1587.17529296875
Lakshadweep,2022,1769.931884765625
Lakshadweep,2023,1777.6239013671875
Lakshadweep,2024,1957.509521484375
Lakshadweep,2025,2164.864990234375
Lakshadweep,2026,2308.458984375
Lakshadweep,2027,2375.351806640625
Lakshadweep,2028,2575.160888671875
Lakshadweep,2029,2772.70703125
Lakshadweep,2030,2589.344482421875
Madhya Maharashtra,2018,856.68695068359375
Madhya Maharashtra,2019,889.25848388671875
Madhya Maharashtra,2020,992.5599365234375
Madhya Maharashtra,2021,927.49566650390625
Madhya Maharashtra,2022,945.29425048828125
Madhya Maharashtra,2023,989.24371337890625
Madhya Maharashtra,2024,931.07513427734375
Madhya Maharashtra,2025,979.9794921875
Madhya Maharashtra,2026,1032.8350830078125
Madhya Maharashtra,2027,920.67413330078125
Madhya Maharashtra,2028,1048.919677734375
Madhya Maharashtra,2029,1104.318359375
Madhya Maharashtra,2030,916.15045166015625
Matathwada,2018,707.64801025390625
Matathwada,2019,751.59521484375
Matathwada,2020,733.021728515625
Matathwada,2021,755.19482421875
Matathwada,2022,716.9000244140625
Matathwada,2023,703.86395263671875
Matathwada,2024,743.16387939453125
Matathwada,2025,721.00042724609375
Matathwada,2026,691.21429443359375
Matathwada,2027,704.4346923828125
Matathwada,2028,720.80712890625
Matathwada,2029,691.62432861328125
Matathwada,2030,714.1199951171875
Naga Mani Mizo Tripura,2018,2440.500732421875
Naga Mani Mizo Tripura,2019,2605.950927734375
Naga Mani Mizo Tripura,2020,2719.6982421875
Naga Mani Mizo Tripura,2021,2588.4755859375
Naga Mani Mizo Tripura,2022,2681.83935546875
Naga Mani Mizo Tripura,2023,2605.2080078125
Naga Mani Mizo Tripura,2024,2755.489013671875
Naga Mani Mizo Tripura,2025,2755.979248046875
Naga Mani Mizo Tripura,2026,2695.77734375
Naga Mani Mizo Tripura,2027,2781.208251953125
Naga Mani Mizo Tripura,2028,2792.7001953125
Naga Mani Mizo Tripura,2029,2729.11328125
Naga Mani Mizo Tripura,2030,2748.8759765625
North Interior Karnataka,2018,694.0499267578125
North Interior Karnataka,2019,655.16412353515625
North Interior Karnataka,2020,662.736083984375
North Interior Karnataka,2021,668.85491943359375
North Interior Karnataka,2022,681.095703125
North Interior Karnataka,2023,653.50634765625
North Interior Karnataka,2024,645.0953369140625
North Interior Karnataka,2025,639.004638671875
North Interior Karnataka,2026,638.60589599609375
North Interior Karnataka,2027,678.6109619140625
North Interior Karnataka,2028,663.55291748046875
