SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND,Rainfall_Category,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_5
Assam & Meghalaya,1904,11.1,56.1,51.9,457.1,375.2,385.7,477.6,438.8,245.9,115.9,46.4,2.5,2664.1,67.1,884.2,1548,164.8,Heavy Rainfall,2544.7,2952.1,2498.6,2665.133333333333,NA
Assam & Meghalaya,1905,19.9,16.9,137.9,213,275.5,521.7,439.1,649.1,276,200,16.8,24.8,2790.6,36.8,626.3,1886,241.6,Heavy Rainfall,2664.1,2544.7,2952.1,2720.2999999999997,NA
Assam & Meghalaya,1906,9.7,59.2,88.4,263.5,271.3,388.4,541.8,585.9,264.2,165.7,24.9,0.2,2663.4,68.9,623.3,1780.4,190.8,Heavy Rainfall,2790.6,2664.1,2544.7,2666.4666666666667,2690.02
Assam & Meghalaya,1907,55.8,37.2,109.7,254.8,213.7,509.8,578.9,304.2,401,37.6,4.8,13.8,2521.1,93,578.1,1793.8,56.2,Heavy Rainfall,2663.4,2790.6,2664.1,2706.0333333333333,2722.98
Assam & Meghalaya,1908,16.2,25.1,20.7,176.6,332.7,390.8,477.2,339.4,403.4,91.9,3.8,0,2277.8,41.3,530,1610.8,95.7,Heavy Rainfall,2521.1,2663.4,2790.6,2658.366666666667,2636.7799999999997
Assam & Meghalaya,1909,19,8.9,4.4,195,310.4,639.4,345,445.2,216.4,162.4,24.6,6.3,2377,27.9,509.8,1646,193.3,Heavy Rainfall,2277.8,2521.1,2663.4,2487.4333333333334,2583.4
Assam & Meghalaya,1910,9.2,32.1,152.8,211.5,274.6,582.5,738.3,418.3,247.8,199.7,16.2,4.3,2887.3,41.3,638.9,1986.9,220.2,Heavy Rainfall,2377,2277.8,2521.1,2391.9666666666667,2525.98
Assam & Meghalaya,1911,74.2,19,93,234,431.7,534,618.6,417.1,387.8,257.4,26.3,3,3096.2,93.2,758.7,1957.5,286.8,Heavy Rainfall,2887.3,2377,2277.8,2514.0333333333333,2545.32
Assam & Meghalaya,1912,9,57.8,126.1,301,250.2,482.7,567,453.4,236.8,181.5,68.4,9.5,2743.5,66.8,677.4,1739.9,259.5,Heavy Rainfall,3096.2,2887.3,2377,2786.8333333333335,2631.88
Assam & Meghalaya,1913,11.9,90.2,118.4,334.2,392.3,458.6,438,354,279.2,227.7,10.4,45.6,2760.5,102.2,844.9,1529.7,283.7,Heavy Rainfall,2743.5,3096.2,2887.3,2909,2676.36
