Actual,Predicted
3828,3171.677490234375
3497.6,3317.0498046875
3757.8,3683.1708984375
2622.4,3485.72900390625
2904.6,3342.150634765625
2851.9,2854.146484375
2890,3126.677734375
2193.7,2206.01416015625
3440.3,2165.4521484375
2042.9,2731.026123046875
2403.2,2286.244384765625
2767.5,2465.110107421875
2706.9,2507.833251953125
2745.3,2642.228515625
1743.4,2327.954833984375
2609.4,2388.728759765625
1816.4,2392.671142578125
2206.1,1879.6513671875
2470.9,2475.05322265625
2266.9,2126.34033203125
2711.7,2339.83642578125
1097.1,1132.9246826171875
1032.4,1124.2659912109375
1069.9,1089.166015625
1061,1130.0877685546875
872.7,1177.427490234375
1158,1241.1746826171875
1112,1167.3638916015625
1302.7,1129.7152099609375
1377.4,1023.2314453125
1420,996.36541748046875
1278.7,1106.175537109375
1117.6,1115.76220703125
1315.8,1007.87060546875
1124.4,1177.438232421875
861.9,1166.7550048828125
1318.4,1025.1748046875
1120.5,1045.0433349609375
874.9,1238.7559814453125
1010.9,1152.4857177734375
908.9,1186.7540283203125
892.7,1144.579833984375
3908.6,3448.468505859375
1409.4492071119655,3568.802001953125
4229.4,3345.275634765625
3684.4,3981.884765625
3106,3122.340576171875
2619.7,2823.555419921875
2947.6,3041.8740234375
1275.2,1036.6119384765625
1053.1,1132.3099365234375
1521.9,1156.3388671875
924.9,1069.35107421875
939.2,998.34991455078125
1340,1116.224609375
840.1,1210.6119384765625
802.1,780.19989013671875
693.6,663.013916015625
836.1,787.682861328125
683.3,787.712646484375
650.7,857.38421630859375
860.6,948.9998779296875
600.3,839.77410888671875
781.2,886.95880126953125
602.7,933.69775390625
1041.4,851.02880859375
701.2,853.7923583984375
603.3,855.69903564453125
871.7,823.1727294921875
695,844.943359375
1686.5,1136.688232421875
1268,1402.8037109375
1764.1,1202.01953125
1261.4,1309.61572265625
1530.3,1101.0892333984375
1427,1290.5235595703125
1568.6,1334.037109375
890.5,1118.9989013671875
714,1009.0404663085938
1118.6,1046.667236328125
705.7,975.251220703125
622.9,1019.884033203125
764.9,908.56170654296875
1024.4,953.355224609375
512,641.5364990234375
391.4,684.98883056640625
461.2,570.109375
305.5,612.78582763671875
435.3,523.46942138671875
398.7,602.53277587890625
421.6,553.718017578125
1108.3,1163.005126953125
951.6,1059.447998046875
1211.9,1101.593017578125
1008.7,1108.9022216796875
1210.5,1115.578125
921.5,1108.7987060546875
1182.2,1134.5455322265625
887.6,977.12091064453125
1034.7,1091.40625
859.3,1139.1041259765625
1093.4,1131.80615234375
1572.8,1211.5286865234375
902.8,1093.4072265625
1278.9,913.5335693359375
1374.7,1232.468994140625
1065,1380.50341796875
1253.6,1114.8675537109375
1156.6,1057.8929443359375
1081.8,1033.697509765625
1264,1168.0621337890625
1165.8,1293.5955810546875
3035.1,3131.323486328125
2151.1,3511.194091796875
3255.4,2675.74755859375
3046.4,3003.422119140625
2600.6,2854.891357421875
1870.9,3327.2109375
2664.9,2793.14892578125
3825.2,3036.902099609375
3018.4,3821.580322265625
3524,3230.27880859375
2757.5,3760.36181640625
2082,3221.79541015625
3663.9,2891.52197265625
3443.4,3142.706787109375
1533.7,1682.8333740234375
1405.5,1486.1624755859375
1426.3,1193.656005859375
1395,1332.692138671875
1642.9,1233.372802734375
1065.7,1293.01904296875
1738.9,1116.618408203125
852.6,1077.2763671875
689.8,1091.940673828125
962.4,1012.5012817382813
838,972.75030517578125
644.5,899.39404296875
906.3,939.69268798828125
994.4,865.334716796875
663.5,797.42401123046875
526.7,885.4686279296875
888,816.13360595703125
548.9,876.65240478515625
532.2,925.3441162109375
949,732.39190673828125
755.6,913.0406494140625
1892.1,1709.9202880859375
1922.9,1748.9932861328125
1557.2,1955.44921875
1599.9,1925.8394775390625
1922.4,1740.2537841796875
1956.4,1417.993408203125
2805.4,1799.6134033203125
655.2,790.8892822265625
583.8,895.20172119140625
723.2,1016.3590087890625
756.8,842.3924560546875
551.9,879.06243896484375
625,725.34783935546875
739.6,767.98260498046875
1346.2,1226.8271484375
1405.9,1165.2852783203125
1632.4,1183.078125
1536.9,1205.9111328125
1210.1,1296.46630859375
1253.5,1233.7860107421875
1344.5,1171.351318359375
705.2,599.63677978515625
493.6,659.41424560546875
586.6,656.45684814453125
382.7,640.95001220703125
510.8,634.9256591796875
444,592.98309326171875
497.5,587.77337646484375
738,835.642822265625
715,887.3848876953125
762.6,872.54010009765625
551.8,823.286376953125
1047.1,865.3775634765625
555.4,850.9541015625
834.5,989.9150390625
742.5,738.6309814453125
323.8,855.13336181640625
681.8,679.99322509765625
383.9,811.07122802734375
441.7,737.65985107421875
482.9,595.66156005859375
652.1,580.96051025390625
1087.4,1159.3765869140625
877.8,1120.4664306640625
1110.7,1135.053955078125
1184.2,1098.1982421875
1112.5,1178.035400390625
687.3,1092.2611083984375
1061.7,1314.591796875
2418.7,2603.321533203125
2632.2,2366.942626953125
2406.1,2652.576171875
2322.6,2430.427734375
2518.6,2636.72216796875
2624.8,2493.28369140625
2684.9,2514.6845703125
